trade_idx,timestamp,symbol,side,entry_price,quantity,stop_loss,take_profit,strategy,strength,r_dollars,pnl,exit_price,exit_reason,date,month,R
41,2026-03-16 07:00:00+00:00,USDJPY,SELL,159.244,0.18,159.4395,,london_breakout,0.65,23.19021,18.14886,159.091,time_stop,2026-03-16,2026-03,0.7826086956521738
42,2026-03-17 08:40:00+00:00,USDJPY,SELL,159.085,0.18,159.27450000000002,,london_breakout,0.65,22.47849,20.16540000000237,158.915,time_stop,2026-03-17,2026-03,0.8970976253299208
43,2026-03-19 07:05:00+00:00,USDJPY,SELL,159.481,0.18,159.635,,london_breakout,0.65,18.26748,80.0685,158.806,time_stop,2026-03-19,2026-03,4.383116883116883
44,2026-03-20 08:45:00+00:00,USDJPY,BUY,158.45200000000003,0.19,158.10650000000004,,london_breakout,0.65,43.26005499999749,81.7621299999975,159.105,time_stop,2026-03-20,2026-03,1.8900144717800806
45,2026-03-25 07:30:00+00:00,USDJPY,BUY,159.094,0.19,158.8565,,london_breakout,0.65,29.737375,-29.737375,158.8565,stop_loss,2026-03-25,2026-03,-1.0
46,2026-03-27 07:10:00+00:00,USDJPY,BUY,159.77900000000002,0.19,159.61900000000003,,london_breakout,0.65,20.03359999999875,17.529399999997494,159.919,time_stop,2026-03-27,2026-03,0.8749999999999295
47,2026-03-30 07:20:00+00:00,USDJPY,SELL,159.579,0.19,159.9015,,london_breakout,0.65,40.380224999997495,26.419310000002504,159.368,time_stop,2026-03-30,2026-03,0.6542635658915755
48,2026-04-02 07:05:00+00:00,USDJPY,BUY,159.532,0.16,159.082,,london_breakout,0.65,47.448,11.17664,159.638,time_stop,2026-04-02,2026-04,0.23555555555555557
49,2026-04-06 07:45:00+00:00,USDJPY,SELL,159.483,0.19,159.6235,,london_breakout,0.65,17.592005,-1.2521,159.493,time_stop,2026-04-06,2026-04,-0.07117437722419928
50,2026-04-07 08:10:00+00:00,USDJPY,SELL,159.634,0.19,159.76299999999998,,london_breakout,0.65,16.152089999997497,-16.152089999997497,159.76299999999998,stop_loss,2026-04-07,2026-04,-1.0
51,2026-04-09 07:55:00+00:00,USDJPY,BUY,158.971,0.19,158.802,,london_breakout,0.65,21.16049,14.02352,159.083,time_stop,2026-04-09,2026-04,0.6627218934911243
52,2026-04-14 09:10:00+00:00,USDJPY,SELL,158.949,0.19,159.139,,london_breakout,0.65,23.7899,18.65629,158.8,time_stop,2026-04-14,2026-04,0.7842105263157895
53,2026-04-15 08:15:00+00:00,USDJPY,SELL,158.676,0.19,158.84,,london_breakout,0.65,20.53444,-20.53444,158.84,stop_loss,2026-04-15,2026-04,-1.0
54,2026-04-16 08:15:00+00:00,USDJPY,BUY,158.962,0.19,158.6155,,london_breakout,0.65,43.385265,22.78822,159.144,time_stop,2026-04-16,2026-04,0.5252525252525253
55,2026-04-17 08:40:00+00:00,USDJPY,SELL,159.172,0.19,159.349,,london_breakout,0.65,22.16217,191.44609,157.643,time_stop,2026-04-17,2026-04,8.638418079096045
56,2026-04-20 07:10:00+00:00,USDJPY,SELL,158.777,0.2,158.985,,london_breakout,0.65,27.41439999999868,-27.41439999999868,158.985,stop_loss,2026-04-20,2026-04,-1.0
57,2026-04-21 07:55:00+00:00,USDJPY,BUY,159.021,0.2,158.918,,london_breakout,0.65,13.5754,8.8306,159.088,time_stop,2026-04-21,2026-04,0.6504854368932039
58,2026-04-23 07:00:00+00:00,USDJPY,BUY,159.69000000000003,0.2,159.4935,,london_breakout,0.65,25.89870000000264,-25.89870000000264,159.4935,stop_loss,2026-04-23,2026-04,-1.0
59,2026-04-27 08:50:00+00:00,USDJPY,SELL,159.134,0.2,159.3535,,london_breakout,0.65,28.9301,-3.4268,159.16,time_stop,2026-04-27,2026-04,-0.11845102505694761
60,2026-04-28 08:00:00+00:00,USDJPY,BUY,159.662,0.2,159.35750000000002,,london_breakout,0.65,40.13309999999736,-11.466599999997364,159.57500000000002,time_stop,2026-04-28,2026-04,-0.2857142857142388
61,2026-04-29 08:25:00+00:00,USDJPY,BUY,159.7446,0.2,159.632,,london_breakout,0.65,14.84068,47.89612,160.108,time_stop,2026-04-29,2026-04,3.2273534635879217
62,2026-04-30 08:00:00+00:00,USDJPY,SELL,160.022,0.2,160.349,,london_breakout,0.65,43.0986,425.5822,156.793,time_stop,2026-04-30,2026-04,9.874617737003058
63,2026-05-05 07:05:00+00:00,USDJPY,SELL,157.152,0.22,157.22050000000002,,london_breakout,0.65,9.9311300000029,-9.9311300000029,157.22050000000002,stop_loss,2026-05-05,2026-05,-1.0
64,2026-05-08 08:30:00+00:00,USDJPY,SELL,156.705,0.22,156.845,,london_breakout,0.65,20.2972,11.30844,156.627,time_stop,2026-05-08,2026-05,0.557142857142857
65,2026-05-13 07:50:00+00:00,USDJPY,BUY,157.822,0.22,157.708,,london_breakout,0.65,16.52772,-7.10402,157.773,time_stop,2026-05-13,2026-05,-0.42982456140350883
66,2026-05-18 08:30:00+00:00,USDJPY,SELL,158.794,0.21,158.9305,,london_breakout,0.65,18.890235,-18.890235,158.9305,stop_loss,2026-05-18,2026-05,-1.0
67,2026-05-19 07:10:00+00:00,USDJPY,BUY,159.131,0.21,159.002,,london_breakout,0.65,17.85231,-17.85231,159.002,stop_loss,2026-05-19,2026-05,-1.0
68,2026-05-21 07:00:00+00:00,USDJPY,BUY,159.076,0.21,158.94150000000002,,london_breakout,0.65,18.61345499999723,-18.61345499999723,158.94150000000002,stop_loss,2026-05-21,2026-05,-1.0
69,2026-05-25 07:10:00+00:00,USDJPY,BUY,158.989,0.21,158.8845,,london_breakout,0.65,14.461755,-14.461755,158.8845,stop_loss,2026-05-25,2026-05,-1.0
70,2026-05-26 07:00:00+00:00,USDJPY,BUY,159.151,0.21,159.04500000000002,,london_breakout,0.65,14.669339999997232,13.839,159.251,time_stop,2026-05-26,2026-05,0.9433962264152723
71,2026-05-27 08:15:00+00:00,USDJPY,BUY,159.402,0.21,159.299,,london_breakout,0.65,14.25417,-14.25417,159.299,stop_loss,2026-05-27,2026-05,-1.0
72,2026-05-28 07:10:00+00:00,USDJPY,SELL,159.463,0.21,159.556,,london_breakout,0.65,12.87027,11.20959,159.382,time_stop,2026-05-28,2026-05,0.8709677419354839
73,2026-06-02 09:00:00+00:00,USDJPY,BUY,159.7461,0.21,159.6905,,london_breakout,0.65,7.694484,16.869741,159.868,time_stop,2026-06-02,2026-06,2.1924460431654675
74,2026-06-03 07:30:00+00:00,USDJPY,SELL,159.768,0.21,159.85450000000003,,london_breakout,0.65,11.970735000004153,-11.970735000004153,159.85450000000003,stop_loss,2026-06-03,2026-06,-1.0
75,2026-06-08 07:10:00+00:00,USDJPY,SELL,160.187,0.21,160.28249999999997,,london_breakout,0.65,13.216244999995848,28.64673,159.98,time_stop,2026-06-08,2026-06,2.1675392670163878
